ogc_fid,lsoa11cd,lsoa11nm,lsoa11nmw,2006K4Lar,2006K4Ach,2006PerAC,2007K4Lar,2007K4Ach,2007PerAC,2008K4Lar,2008K4Ach,2008PerAC,2009K4Lar,2009K4Ach,2009PerAC,2010K4Lar,2010K4Ach,2010PerAC,2011K4Lar,2011K4Ach,2011PerAC,2012K4Lar,2012K4Ach,2012PerAC,2013K4Lar,2013K4Ach,2013PerAC,2014K4Lar,2014K4Ach,2014PerAC,2015K4Lar,2015K4Ach,2015PerAC
5601,E01005761,Stockport 026A,Stockport 026A,22,4,18.18,,,8.7,20,7,35,14,6,42.86,17,4,23.53,16,9,56.25,16,10,62.5,19,13,68.42,28,14,50,,,42.9
5710,E01005870,Stockport 015A,Stockport 015A,18,9,50,18,9,50,19,7,36.84,16,4,25,,,50,16,8,50,9,4,44.44,14,7,50,13,9,69.23,,,33.3
5711,E01005871,Stockport 015B,Stockport 015B,14,7,50,16,4,25,12,7,58.33,16,9,56.25,17,11,64.71,13,9,69.23,15,7,46.67,20,14,70,15,4,26.67,,,42.9
5583,E01005743,Stockport 009A,Stockport 009A,17,8,47.06,20,10,50,11,4,36.36,,,25,19,11,57.89,16,12,75,17,13,76.47,17,9,52.94,18,12,66.67,,,25
5584,E01005744,Stockport 009B,Stockport 009B,,,16.67,17,8,47.06,19,7,36.84,19,6,31.58,19,8,42.11,15,4,26.67,13,9,69.23,18,10,55.56,,,27.27,,,27.3
5585,E01005745,Stockport 005A,Stockport 005A,23,12,52.17,19,9,47.37,24,13,54.17,16,6,37.5,18,13,72.22,18,12,66.67,9,6,66.67,18,13,72.22,18,7,38.89,12,4,33.3
5586,E01005746,Stockport 005B,Stockport 005B,15,4,26.67,23,5,21.74,13,4,30.77,,,27.27,15,6,40,16,4,25,11,7,63.64,9,4,44.44,,,10,,,12.5
5587,E01005747,Stockport 005C,Stockport 005C,23,13,56.52,24,18,75,15,8,53.33,23,16,69.57,18,15,83.33,17,11,64.71,10,7,70,17,11,64.71,10,7,70,21,9,42.9
5588,E01005748,Stockport 005D,Stockport 005D,19,9,47.37,8,6,75,11,8,72.73,12,10,83.33,14,13,92.86,15,12,80,13,12,92.31,9,8,88.89,15,12,80,12,8,66.7
5589,E01005749,Stockport 009C,Stockport 009C,23,10,43.48,15,12,80,24,13,54.17,14,7,50,20,13,65,21,11,52.38,10,6,60,18,12,66.67,21,7,33.33,12,4,33.3
5590,E01005750,Stockport 009D,Stockport 009D,23,9,39.13,24,13,54.17,14,7,50,17,5,29.41,14,11,78.57,18,11,61.11,13,9,69.23,21,14,66.67,20,10,50,19,5,26.3
5591,E01005751,Stockport 009E,Stockport 009E,8,5,62.5,19,6,31.58,21,7,33.33,15,8,53.33,15,8,53.33,14,10,71.43,13,8,61.54,13,9,69.23,15,6,40,13,6,46.2
5592,E01005752,Stockport 012A,Stockport 012A,28,5,17.86,20,4,20,25,8,32,16,5,31.25,29,17,58.62,26,15,57.69,23,14,60.87,18,9,50,31,11,35.48,,,7.1
