LSOA code (2011),LSOA name (2011),Local Authority District code (2013),Local Authority District name (2013),Index of Multiple Deprivation (IMD) Rank (where 1 is most deprived),Index of Multiple Deprivation (IMD) Decile (where 1 is most deprived 10% of LSOAs)
E01005886,Stockport 001A,E08000007,Stockport,"5,601",2
E01005888,Stockport 001B,E08000007,Stockport,"12,183",4
E01005889,Stockport 001C,E08000007,Stockport,"7,781",3
E01005891,Stockport 001D,E08000007,Stockport,"20,622",7
E01005894,Stockport 001E,E08000007,Stockport,"13,124",4
E01005887,Stockport 002A,E08000007,Stockport,"4,051",2
E01005890,Stockport 002B,E08000007,Stockport,"5,246",2
E01005893,Stockport 002C,E08000007,Stockport,"8,755",3
E01005896,Stockport 002D,E08000007,Stockport,"11,976",4
E01005919,Stockport 002E,E08000007,Stockport,"2,955",1
E01005862,Stockport 003A,E08000007,Stockport,"25,667",8
E01005892,Stockport 003B,E08000007,Stockport,"11,464",4
E01005895,Stockport 003C,E08000007,Stockport,"11,131",4
E01005920,Stockport 003D,E08000007,Stockport,"22,553",7
E01005921,Stockport 003E,E08000007,Stockport,"7,665",3
E01005922,Stockport 003F,E08000007,Stockport,"18,289",6
E01005753,Stockport 004A,E08000007,Stockport,686,1
E01005754,Stockport 004B,E08000007,Stockport,147,1
E01005755,Stockport 004C,E08000007,Stockport,"1,081",1
E01005756,Stockport 004D,E08000007,Stockport,47,1
E01005745,Stockport 005A,E08000007,Stockport,"14,915",5
E01005746,Stockport 005B,E08000007,Stockport,"2,443",1
E01005747,Stockport 005C,E08000007,Stockport,"26,604",9
E01005748,Stockport 005D,E08000007,Stockport,"30,189",10
E01005863,Stockport 006A,E08000007,Stockport,"20,552",7
E01005864,Stockport 006B,E08000007,Stockport,"26,541",9
E01005866,Stockport 006C,E08000007,Stockport,"12,527",4
E01005869,Stockport 006D,E08000007,Stockport,"22,231",7
E01005914,Stockport 007A,E08000007,Stockport,"11,056",4
E01005915,Stockport 007B,E08000007,Stockport,"5,906",2
E01005916,Stockport 007C,E08000007,Stockport,"10,394",4
E01005917,Stockport 007D,E08000007,Stockport,"4,526",2
E01005859,Stockport 008A,E08000007,Stockport,"17,926",6
E01005865,Stockport 008B,E08000007,Stockport,"26,991",9
E01005867,Stockport 008C,E08000007,Stockport,"27,222",9
E01005868,Stockport 008D,E08000007,Stockport,"26,653",9
E01005743,Stockport 009A,E08000007,Stockport,"18,959",6
E01005744,Stockport 009B,E08000007,Stockport,"6,763",3
E01005749,Stockport 009C,E08000007,Stockport,"21,298",7
E01005750,Stockport 009D,E08000007,Stockport,"16,646",6
E01005751,Stockport 009E,E08000007,Stockport,"12,517",4
E01005897,Stockport 010A,E08000007,Stockport,"12,271",4
E01005898,Stockport 010B,E08000007,Stockport,"16,760",6
E01005900,Stockport 010C,E08000007,Stockport,"13,816",5
E01005903,Stockport 010D,E08000007,Stockport,"29,083",9
E01005904,Stockport 010E,E08000007,Stockport,"29,055",9
E01005853,Stockport 011A,E08000007,Stockport,"10,349",4
